Month,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
9,34.6,26.6,0.0,3.0,96,68.0,8.8,3.4,432.3560656,2.0,0.87,1.44
9,30.2,27.2,2.6,2.6,96,88.0,0.3,11.9,171.7962295,2.04,0.88,1.47
9,32.0,26.6,7.4,3.4,96,84.0,2.9,9.3,251.4968852,2.14,0.94,1.58
9,31.8,26.8,0.0,4.0,96,80.0,6.9,5.3,374.1132787,2.18,1.0,1.66
9,31.0,27.0,39.0,2.0,96,96.0,2.4,9.8,236.1698361,2.1,0.94,1.65
9,29.4,24.0,0.0,2.0,100,92.0,0.9,11.3,190.1886885,1.97,0.89,1.64
9,32.4,25.0,3.8,2.8,96,74.0,7.4,4.8,389.4403279,1.81,0.82,1.53
9,32.6,25.2,0.0,2.0,96,77.0,8.6,3.6,426.2252459,1.76,0.8,1.36
9,33.0,26.4,0.0,3.0,96,71.0,6.1,6.1,349.59,1.62,0.77,1.22
9,34.4,27.0,0.0,4.0,92,62.0,8.4,3.8,420.0944262,1.56,0.75,1.19
9,35.8,27.0,34.6,4.6,96,84.0,3.6,8.6,272.9547541,1.74,0.8,1.27
9,31.2,24.2,49.6,3.6,96,87.0,6.3,5.9,355.7208197,1.88,0.89,1.34
9,30.4,25.2,19.0,3.0,96,77.0,5.0,7.2,315.8704918,2.03,1.01,1.5
9,29.0,25.2,6.0,2.0,96,92.0,2.9,9.3,251.4968852,2.34,1.08,1.8
9,30.6,26.0,0.0,2.0,96,92.0,1.5,10.7,208.5811475,2.36,1.14,1.81
9,34.0,26.6,0.0,2.0,96,71.0,8.7,3.5,429.2906557,2.22,1.12,1.76
9,34.0,26.8,0.0,2.0,96,71.0,7.4,4.8,389.4403279,2.12,1.08,1.72
9,34.8,27.0,0.0,2.0,92,74.0,5.5,6.7,331.197541,1.9,1.04,1.48
9,33.0,27.0,0.0,1.0,96,78.0,0.3,11.9,171.7962295,1.74,1.01,1.46
9,31.6,26.4,0.0,1.0,96,80.0,0.3,11.9,171.7962295,1.68,0.97,1.33
9,29.6,26.6,7.4,1.4,96,84.0,1.1,11.1,196.3195082,1.63,0.95,1.31
9,31.8,25.0,34.0,2.0,96,88.0,1.3,10.9,202.4503279,1.6,0.91,1.28
9,29.4,24.6,10.0,2.0,96,92.0,1.1,11.1,196.3195082,1.56,0.89,1.27
9,29.0,25.0,5.8,1.8,96,92.0,1.4,10.8,205.5157377,1.52,0.86,1.23
10,32.0,25.0,4.6,1.6,96,84.0,5.4,5.76,303.9772414,1.63,0.95,1.32
10,34.2,24.6,1.6,2.6,96,71.0,7.6,3.56,368.0124138,1.73,0.92,1.37
10,31.8,26.0,0.0,2.0,96,77.0,5.0,6.16,292.3344828,1.87,0.9,1.44
10,35.0,26.0,0.0,2.0,96,68.0,8.3,2.86,388.3872414,1.97,0.88,1.51
